"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-12-31,74214,"37167","TN","Nashville","Rutherford","Smyrna",404,206200,0.00782013685239492,0.0315157578789395,0.131102578167855,0.0814468436782703,0.0324016805267142,"2017-12","2017-Q4",206200,0,"2017-12"
2017-12-31,65031,"17331","PA","York","York","Hanover",405,165900,0.0012070006035003,0.0115853658536585,0.0317164179104478,0.0159231253456247,-0.018666683100131,"2007-05","2007-Q2",203100,-0.183161004431315,"2005-06"
2017-12-31,66758,"21061","MD","Baltimore","Anne Arundel","Glen Burnie",406,247600,0.00242914979757085,0.0101999184006528,0.0155865463494668,0.0285420364732023,-0.00902633737502878,"2007-05","2007-Q2",282600,-0.123849964614296,"2005-08"
2017-12-31,97926,"95014","CA","San Jose","Santa Clara","Cupertino",407,2156500,0.0245629038388445,0.0793293293293293,0.205826437038694,0.121702120262076,0.0673955069240011,"2017-12","2017-Q4",2156500,0,"2017-12"
2017-12-31,100157,"99208","WA","Spokane","Spokane","Spokane",408,239300,0.00673117374842238,0.0182978723404255,0.0887170154686078,0.0715337598620629,0.0111896206125226,"2017-12","2017-Q4",239300,0,"2017-12"
2017-12-31,94921,"85345","AZ","Phoenix","Maricopa","Peoria",409,189400,0.00105708245243129,0.0139186295503212,0.082904516866781,0.117455110724764,-0.00641995512489446,"2006-07","2006-Q3",222200,-0.147614761476148,"2005-08"
2017-12-31,90316,"74133","OK","Tulsa","Tulsa","Tulsa",410,183900,0,0.0104395604395604,0.00436919716002185,0.0249253563846845,0.0165245755290198,"2017-04","2017-Q2",190300,-0.0336311087756174,"2017-02"
2017-12-31,98361,"95670","CA","Sacramento","Sacramento","Rancho Cordova",411,311700,0.00257317465422966,0.0166340508806262,0.102972399150743,0.128242574204455,0.0127900950412652,"2005-11","2005-Q4",354500,-0.120733427362482,"2005-02"
2017-12-31,96647,"92105","CA","San Diego","San Diego","San Diego",412,415700,0.00775757575757576,0.0201226993865031,0.087081589958159,0.108385220845553,0.0187282383197598,"2017-12","2017-Q4",415700,0,"2017-12"
2017-12-31,77986,"46143","IN","Indianapolis","Johnson","Greenwood",413,161900,0.0037197768133912,0.0188797986154814,0.0581699346405229,0.0367022269045036,0.0108070079274944,"2017-12","2017-Q4",161900,0,"2017-12"
2017-12-31,99961,"98682","WA","Portland","Clark","Vancouver",414,293100,0.00721649484536082,0.0251836306400839,0.0961106955871354,0.109924183346986,0.024673447271049,"2017-12","2017-Q4",293100,0,"2017-12"
2017-12-31,84399,"60148","IL","Chicago","Du Page","Lombard",415,261900,0.00498848810437452,0.0210526315789474,0.0629058441558442,0.0559382445526462,-0.00587653311435488,"2007-04","2007-Q2",284500,-0.0794376098418278,"2005-05"
2017-12-31,77402,"45013","OH","Cincinnati","Butler","Hamilton",416,138000,0.000725163161711385,0.0102489019033675,0.0672853828306264,0.043194245334681,0.00583515411141322,"2017-12","2017-Q4",138000,0,"2017-12"
2017-12-31,71914,"32303","FL","Tallahassee","Leon","Tallahassee",417,134700,0.00223214285714286,0.0105026256564141,0.0474339035769829,0.0337520653869008,-0.0154533772623424,"2007-04","2007-Q2",162200,-0.169543773119605,"2005-02"
2017-12-31,95318,"87124","NM","Albuquerque","Sandoval","Rio Rancho",418,164600,0.0135467980295567,0.0306825297432686,0.0730117340286832,0.0266743217018008,-0.00994410685812297,"2007-04","2007-Q2",188400,-0.126326963906582,
2017-12-31,94843,"85251","AZ","Phoenix","Maricopa","Scottsdale",419,295900,-0.000675447483958122,0.0092087312414734,0.076,0.103665234621022,0.0110520724640581,"2017-11","2017-Q4",296100,-0.000675447483958122,"2017-11"
2017-12-31,65742,"19067","PA","Philadelphia","Bucks","Lower Makefield",420,358400,0.00307864539602575,0.00957746478873239,0.0118577075098814,0.0251122376384809,-0.0013295119774559,"2006-08","2006-Q3",377000,-0.0493368700265252,"2005-08"
